,ssps_filled,lulucf_source
ATA,"SSP1BLIMAGE for CO2 filled with mean over available SSPs ().
SSP1BLIMAGE for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for CO2 filled with mean over available SSPs ().
SSP2BLMESGB for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for CO2 filled with mean over available SSPs ().
SSP3BLAIMCGE for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for CO2 filled with mean over available SSPs ().
SSP4BLGCAM4 for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for CO2 filled with mean over available SSPs ().
SSP5BLREMMP for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for CH4 filled with mean over available SSPs ().
SSP1BLIMAGE for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for CH4 filled with mean over available SSPs ().
SSP2BLMESGB for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for CH4 filled with mean over available SSPs ().
SSP3BLAIMCGE for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for CH4 filled with mean over available SSPs ().
SSP4BLGCAM4 for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for CH4 filled with mean over available SSPs ().
SSP5BLREMMP for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for N2O filled with mean over available SSPs ().
SSP1BLIMAGE for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for N2O filled with mean over available SSPs ().
SSP2BLMESGB for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for N2O filled with mean over available SSPs ().
SSP3BLAIMCGE for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for N2O filled with mean over available SSPs ().
SSP4BLGCAM4 for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for N2O filled with mean over available SSPs ().
SSP5BLREMMP for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for KYOTOGHG filled with mean over available SSPs ().
SSP1BLIMAGE for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for KYOTOGHG filled with mean over available SSPs ().
SSP2BLMESGB for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for KYOTOGHG filled with mean over available SSPs ().
SSP3BLAIMCGE for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for KYOTOGHG filled with mean over available SSPs ().
SSP4BLGCAM4 for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for KYOTOGHG filled with mean over available SSPs ().
SSP5BLREMMP for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for POP filled with mean over available SSPs ().
SSP1BLIMAGE for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for POP filled with mean over available SSPs ().
SSP2BLMESGB for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for POP filled with mean over available SSPs ().
SSP3BLAIMCGE for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for POP filled with mean over available SSPs ().
SSP4BLGCAM4 for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for POP filled with mean over available SSPs ().
SSP5BLREMMP for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for GDPPPP filled with mean over available SSPs ().
SSP1BLIMAGE for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for GDPPPP filled with mean over available SSPs ().
SSP2BLMESGB for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for GDPPPP filled with mean over available SSPs ().
SSP3BLAIMCGE for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for GDPPPP filled with mean over available SSPs ().
SSP4BLGCAM4 for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for GDPPPP filled with mean over available SSPs ().
SSP5BLREMMP for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",
ATG,"SSP1BLIMAGE for CO2 filled with mean over available SSPs ().
SSP1BLIMAGE for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for CO2 filled with mean over available SSPs ().
SSP2BLMESGB for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for CO2 filled with mean over available SSPs ().
SSP3BLAIMCGE for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for CO2 filled with mean over available SSPs ().
SSP4BLGCAM4 for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for CO2 filled with mean over available SSPs ().
SSP5BLREMMP for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for CH4 filled with mean over available SSPs ().
SSP1BLIMAGE for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for CH4 filled with mean over available SSPs ().
SSP2BLMESGB for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for CH4 filled with mean over available SSPs ().
SSP3BLAIMCGE for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for CH4 filled with mean over available SSPs ().
SSP4BLGCAM4 for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for CH4 filled with mean over available SSPs ().
SSP5BLREMMP for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for N2O filled with mean over available SSPs ().
SSP1BLIMAGE for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for N2O filled with mean over available SSPs ().
SSP2BLMESGB for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for N2O filled with mean over available SSPs ().
SSP3BLAIMCGE for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for N2O filled with mean over available SSPs ().
SSP4BLGCAM4 for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for N2O filled with mean over available SSPs ().
SSP5BLREMMP for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for KYOTOGHG filled with mean over available SSPs ().
SSP1BLIMAGE for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for KYOTOGHG filled with mean over available SSPs ().
SSP2BLMESGB for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for KYOTOGHG filled with mean over available SSPs ().
SSP3BLAIMCGE for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for KYOTOGHG filled with mean over available SSPs ().
SSP4BLGCAM4 for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for KYOTOGHG filled with mean over available SSPs ().
SSP5BLREMMP for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for POP filled with mean over available SSPs ().
SSP1BLIMAGE for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for POP filled with mean over available SSPs ().
SSP2BLMESGB for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for POP filled with mean over available SSPs ().
SSP3BLAIMCGE for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for POP filled with mean over available SSPs ().
SSP4BLGCAM4 for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for POP filled with mean over available SSPs ().
SSP5BLREMMP for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for GDPPPP filled with mean over available SSPs ().
SSP1BLIMAGE for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for GDPPPP filled with mean over available SSPs ().
SSP2BLMESGB for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for GDPPPP filled with mean over available SSPs ().
SSP3BLAIMCGE for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for GDPPPP filled with mean over available SSPs ().
SSP4BLGCAM4 for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for GDPPPP filled with mean over available SSPs ().
SSP5BLREMMP for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",FAO2019BI
AUS,,CRF2019
AUT,,CRF2019
AZE,,UNFCCC2019BI
BDI,"SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",FAO2019BI
BEL,,CRF2019
BEN,"SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",FAO2019BI
BES,"SSP1BLIMAGE for CO2 filled with mean over available SSPs ().
SSP1BLIMAGE for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for CO2 filled with mean over available SSPs ().
SSP2BLMESGB for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for CO2 filled with mean over available SSPs ().
SSP3BLAIMCGE for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for CO2 filled with mean over available SSPs ().
SSP4BLGCAM4 for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for CO2 filled with mean over available SSPs ().
SSP5BLREMMP for CO2 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for CH4 filled with mean over available SSPs ().
SSP1BLIMAGE for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for CH4 filled with mean over available SSPs ().
SSP2BLMESGB for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for CH4 filled with mean over available SSPs ().
SSP3BLAIMCGE for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for CH4 filled with mean over available SSPs ().
SSP4BLGCAM4 for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for CH4 filled with mean over available SSPs ().
SSP5BLREMMP for CH4 filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for N2O filled with mean over available SSPs ().
SSP1BLIMAGE for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for N2O filled with mean over available SSPs ().
SSP2BLMESGB for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for N2O filled with mean over available SSPs ().
SSP3BLAIMCGE for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for N2O filled with mean over available SSPs ().
SSP4BLGCAM4 for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for N2O filled with mean over available SSPs ().
SSP5BLREMMP for N2O filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for KYOTOGHG filled with mean over available SSPs ().
SSP1BLIMAGE for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for KYOTOGHG filled with mean over available SSPs ().
SSP2BLMESGB for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for KYOTOGHG filled with mean over available SSPs ().
SSP3BLAIMCGE for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for KYOTOGHG filled with mean over available SSPs ().
SSP4BLGCAM4 for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for KYOTOGHG filled with mean over available SSPs ().
SSP5BLREMMP for KYOTOGHG filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for POP filled with mean over available SSPs ().
SSP1BLIMAGE for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for POP filled with mean over available SSPs ().
SSP2BLMESGB for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for POP filled with mean over available SSPs ().
SSP3BLAIMCGE for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for POP filled with mean over available SSPs ().
SSP4BLGCAM4 for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for POP filled with mean over available SSPs ().
SSP5BLREMMP for POP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP1BLIMAGE for GDPPPP filled with mean over available SSPs ().
SSP1BLIMAGE for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for GDPPPP filled with mean over available SSPs ().
SSP2BLMESGB for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for GDPPPP filled with mean over available SSPs ().
SSP3BLAIMCGE for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for GDPPPP filled with mean over available SSPs ().
SSP4BLGCAM4 for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for GDPPPP filled with mean over available SSPs ().
SSP5BLREMMP for GDPPPP filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",
BFA,"SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",FAO2019BI
BGD,"SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",UNFCCC2019BI
BGR,,CRF2019
BHR,,FAO2019BI
BHS,"SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",FAO2019BI
BIH,,UNFCCC2019BI
BLR,,CRF2019
BLZ,"SSP1BLIMAGE for FGASES filled with mean over available SSPs ().
SSP1BLIMAGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP2BLMESGB for FGASES filled with mean over available SSPs ().
SSP2BLMESGB for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP3BLAIMCGE for FGASES filled with mean over available SSPs ().
SSP3BLAIMCGE for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP4BLGCAM4 for FGASES filled with mean over available SSPs ().
SSP4BLGCAM4 for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
SSP5BLREMMP for FGASES filled with mean over available SSPs ().
SSP5BLREMMP for FGASES filled with PRIMAP data (extrapolated with linear regression over last 6 available values).
",FAO2019BI
